Student_ID,Age,Department,Electronics,Programming,Database,Data Science,Mathematics,DSA,Gender,CGPA
S00001,19,CSE,87,46,78,81,73,98,Male,5.16
S00002,18,CSE,87,98,69,35,54,64,Male,8.76
S00003,22,CSE,98,42,95,43,34,61,Female,7.86
S00004,20,CSE,83,44,75,67,31,80,Male,8.11
S00005,21,CSE,34,70,45,49,80,79,Female,9.49
S00006,19,CSE,88,67,87,69,67,73,Male,6.78
S00007,23,CSE,71,38,38,38,88,99,Male,6.45
S00008,19,CSE,79,40,95,71,68,54,Female,6.16
S00009,19,CSE,90,42,97,89,36,93,Male,6.83
S00010,21,CSE,46,83,65,87,84,39,Male,9.75
S00011,20,CSE,34,72,55,38,80,40,Female,6.19
S00012,24,CSE,64,65,36,51,48,96,Male,7.83
S00013,23,CSE,95,97,53,80,82,46,Male,8.88
S00014,19,CSE,91,72,74,46,95,85,Female,5.3
S00015,19,CSE,31,69,34,36,94,35,Male,7.0
S00016,22,CSE,95,50,99,97,30,63,Female,6.65
S00017,23,CSE,76,58,87,66,70,32,Female,7.74
S00018,23,CSE,74,87,43,81,32,61,Female,9.54
S00019,20,CSE,59,32,68,64,60,70,Female,7.84
S00020,20,CSE,68,42,48,44,71,60,Female,6.39
S00021,21,CSE,81,56,64,53,35,84,Male,6.0
S00022,19,CSE,53,66,58,91,70,44,Male,7.33
S00023,21,CSE,83,69,48,30,64,56,Male,6.1
S00024,19,CSE,68,79,42,72,30,94,Male,5.44
S00025,23,CSE,87,31,91,62,42,31,Female,6.4
S00026,19,CSE,94,42,98,41,81,96,Male,7.12
S00027,24,CSE,81,80,78,30,36,60,Male,8.98
S00028,19,CSE,88,71,66,42,69,45,Male,5.2
S00029,24,CSE,79,54,92,35,37,87,Female,5.84
S00030,22,CSE,96,82,42,41,59,46,Male,5.61
S00031,22,CSE,85,66,75,66,39,70,Male,6.58
S00032,19,CSE,39,86,80,87,67,53,Female,6.58
S00033,18,CSE,39,99,85,87,95,79,Female,9.12
S00034,24,CSE,59,98,86,78,53,46,Male,6.08
S00035,19,CSE,31,30,87,54,69,70,Female,6.0
S00036,19,CSE,56,43,64,74,90,34,Male,5.89
S00037,22,CSE,63,34,33,90,82,40,Female,7.75
S00038,19,CSE,62,96,50,44,97,96,Male,8.12
S00039,18,CSE,56,43,78,45,42,95,Female,5.91
S00040,20,CSE,91,57,58,77,45,55,Female,9.18
S00041,21,CSE,36,94,71,66,58,92,Male,6.44
S00042,18,CSE,96,79,40,49,49,51,Female,9.9
S00043,22,CSE,58,74,77,61,67,32,Male,5.15
S00044,18,CSE,34,66,87,49,50,81,Female,5.03
S00045,24,CSE,30,64,85,57,36,98,Female,9.92
S00046,19,CSE,42,53,91,87,56,96,Female,6.28
